"extraction_date","time_id","platform","dimension","dimension_id","metric","metric_value"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","srm.c7jxwa7xrjw2.ap-northeast-1.rds.amazonaws.com","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sczt2908.festo.net","number_databases","3"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2043.festo.net","number_databases","30"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sbgt2015.festo.net","number_databases","7"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","splt5104.festo.net","number_databases","6"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2540.de.festo.net","number_databases","12"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3633.festo.net","number_databases","12"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2042.de.festo.net","number_databases","27"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3387.de.festo.net","number_databases","28"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2313.festo.net","number_databases","33"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3194.de.festo.net","number_databases","10"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scht3012.festo.net","number_databases","26"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3762.de.festo.net","number_databases","37"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3047.de.festo.net","number_databases","23"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet5138.de.festo.net","number_databases","13"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2218.festo.net","number_databases","20"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2130.festo.net","number_databases","13"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2069.de.festo.net","number_databases","4"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3637.de.festo.net","number_databases","29"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3454.de.festo.net","number_databases","18"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2050.festo.net","number_databases","9"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","greekpayroll.database.windows.net","number_databases","1"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sbgt2019.bg.festo.net","number_databases","4"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3463.de.festo.net","number_databases","78"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3462.de.festo.net","number_databases","64"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sust5050.festo.net","number_databases","11"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3530.de.festo.net","number_databases","4"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3741.de.festo.net","number_databases","6"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3634.de.festo.net","number_databases","19"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2046.festo.net","number_databases","54"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2828.cn.festo.net","number_databases","15"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3055.de.festo.net","number_databases","8"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet4519.dev.festo.company","number_databases","6"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2551.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2131.de.festo.net","number_databases","3"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2155.de.festo.net","number_databases","9"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3282.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3566.de.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3372.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3488.de.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3373.festo.net","number_databases","4"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2248.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3464.de.festo.net","number_databases","25"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","blueprism2006.database.windows.net","number_databases","7"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3229.de.festo.net","number_databases","29"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sust3049.festo.net","number_databases","1"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3740.de.festo.net","number_databases","3"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2513.cn.festo.net","number_databases","7"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2084.de.festo.net","number_databases","8"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2023.de.festo.net","number_databases","19"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2512.cn.festo.net","number_databases","10"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2048.festo.net","number_databases","17"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2029.de.festo.net","number_databases","38"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sczt2907.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3466.de.festo.net","number_databases","69"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3502.de.festo.net","number_databases","63"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scat5001.ca.festo.net","number_databases","3"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3388.festo.net","number_databases","6"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3203.de.festo.net","number_databases","10"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3689.de.festo.net","number_databases","5"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3560.festo.net","number_databases","7"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3588.festo.net","number_databases","14"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2229.festo.net","number_databases","5"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2823.cn.festo.net","number_databases","28"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3228.de.festo.net","number_databases","17"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3494.de.festo.net","number_databases","57"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3593.festo.net","number_databases","10"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","ssgt5019","number_databases","5"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2824.cn.festo.net","number_databases","6"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","skrt2009.festo.net","number_databases","6"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2200.festo.net","number_databases","18"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sust3018.festo.net","number_databases","44"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sint2008.in.festo.net","number_databases","39"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3489.de.festo.net","number_databases","3"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","shut2004.festo.net","number_databases","19"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2237.festo.net","number_databases","3"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3487.de.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2100.de.festo.net","number_databases","1"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sczt2916.festo.net","number_databases","20"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2219.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2251.de.festo.net","number_databases","2"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sbgt2033.bg.festo.net","number_databases","17"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2013.festo.net","number_databases","8"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2097.de.festo.net","number_databases","12"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","crucible-codereview.database.windows.net","number_databases","1"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","crucible-codereview-p.database.windows.net","number_databases","1"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","srm.c7jxwa7xrjw2.ap-northeast-1.rds.amazonaws.com","space","0,34405517578125"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sczt2908.festo.net","space","1193,484375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2043.festo.net","space","1632,31341552734"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sbgt2015.festo.net","space","95,9747924804688"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","splt5104.festo.net","space","81,4556884765625"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2540.de.festo.net","space","100,442687988281"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3633.festo.net","space","389,92724609375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2042.de.festo.net","space","1101,07940673828"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3387.de.festo.net","space","288,024719238281"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2313.festo.net","space","1447,32067871094"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3194.de.festo.net","space","1282,48394775391"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scht3012.festo.net","space","166,222045898438"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3762.de.festo.net","space","646,819458007813"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3047.de.festo.net","space","491,531982421875"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet5138.de.festo.net","space","137,200988769531"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2218.festo.net","space","341,836242675781"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2130.festo.net","space","143,536254882813"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2069.de.festo.net","space","113,240173339844"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3637.de.festo.net","space","1651,49157714844"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3454.de.festo.net","space","1154,68682861328"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2050.festo.net","space","88,6279907226563"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","greekpayroll.database.windows.net","space","0,3203125"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sbgt2019.bg.festo.net","space","156,352355957031"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3463.de.festo.net","space","4753,380859375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3462.de.festo.net","space","2439,59375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sust5050.festo.net","space","314,347473144531"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3530.de.festo.net","space","538,288391113281"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3741.de.festo.net","space","629,511596679688"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3634.de.festo.net","space","843,947265625"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2046.festo.net","space","438,754928588867"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2828.cn.festo.net","space","250,022521972656"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3055.de.festo.net","space","92,4065551757813"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet4519.dev.festo.company","space","117,332824707031"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2551.festo.net","space","1537,85864257813"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2131.de.festo.net","space","70,9324111938477"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2155.de.festo.net","space","977,401306152344"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3282.festo.net","space","61,0762939453125"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3566.de.festo.net","space","1400,55084228516"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3372.festo.net","space","1427,36065673828"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3488.de.festo.net","space","51,34375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3373.festo.net","space","1915,13372802734"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2248.festo.net","space","220,381225585938"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3464.de.festo.net","space","526,717346191406"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","blueprism2006.database.windows.net","space","927,1953125"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3229.de.festo.net","space","142,481750488281"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sust3049.festo.net","space","43,390625"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3740.de.festo.net","space","421,774963378906"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2513.cn.festo.net","space","61,3698120117188"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2084.de.festo.net","space","59,4285888671875"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2023.de.festo.net","space","463,509826660156"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2512.cn.festo.net","space","54,099365234375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2048.festo.net","space","163,160766601563"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2029.de.festo.net","space","601,346374511719"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sczt2907.festo.net","space","4249,9409866333"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3466.de.festo.net","space","2910,26147460938"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3502.de.festo.net","space","93,1941528320313"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scat5001.ca.festo.net","space","53,609375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3388.festo.net","space","1497,10681152344"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3203.de.festo.net","space","895,338745117188"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3689.de.festo.net","space","67,1796264648438"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3560.festo.net","space","84,9257202148438"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3588.festo.net","space","898,306701660156"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2229.festo.net","space","107,158203125"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2823.cn.festo.net","space","568,165466308594"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3228.de.festo.net","space","540,769226074219"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3494.de.festo.net","space","215,191162109375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3593.festo.net","space","300,022644042969"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","ssgt5019","space","70,0318603515625"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","scnt2824.cn.festo.net","space","299,4462890625"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","skrt2009.festo.net","space","53,2008056640625"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2200.festo.net","space","232,542053222656"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sust3018.festo.net","space","147,355285644531"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sint2008.in.festo.net","space","83,6825561523438"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3489.de.festo.net","space","104,218688964844"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","shut2004.festo.net","space","104,695983886719"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2237.festo.net","space","117,984375"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet3487.de.festo.net","space","61,71875"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2100.de.festo.net","space","48,7522583007813"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sczt2916.festo.net","space","69,268798828125"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2219.festo.net","space","124,583312988281"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sdet2251.de.festo.net","space","106,107849121094"
"23.06.2024 00:47:01","22.06.2024 22:47:01","Data_Archiving","instance","sbgt2033.bg.festo.net","space","74,5280151367188"
